"Label (Grouping)","United States!!Estimate"
"Total:","44,932,901"
"    Male:","21,666,359"
"        Under 5 years","150,784"
"        5 to 9 years","333,645"
"        10 to 14 years","453,483"
"        15 to 19 years","712,002"
"        20 to 24 years","1,107,335"
"        25 to 29 years","1,579,068"
"        30 to 34 years","2,029,258"
"        35 to 39 years","2,276,486"
"        40 to 44 years","2,287,544"
"        45 to 49 years","2,257,739"
"        50 to 54 years","2,032,516"
"        55 to 59 years","1,779,509"
"        60 to 64 years","1,483,042"
"        65 to 69 years","1,114,119"
"        70 to 74 years","840,434"
"        75 to 79 years","556,890"
"        80 to 84 years","360,343"
"        85 years and over","312,162"
"    Female:","23,266,542"
"        Under 5 years","147,500"
"        5 to 9 years","319,394"
"        10 to 14 years","423,496"
"        15 to 19 years","687,784"
"        20 to 24 years","1,043,586"
"        25 to 29 years","1,552,271"
"        30 to 34 years","2,012,380"
"        35 to 39 years","2,298,645"
"        40 to 44 years","2,381,613"
"        45 to 49 years","2,373,564"
"        50 to 54 years","2,129,237"
"        55 to 59 years","1,922,055"
"        60 to 64 years","1,652,189"
"        65 to 69 years","1,340,769"
"        70 to 74 years","1,066,298"
"        75 to 79 years","775,901"
"        80 to 84 years","563,156"
"        85 years and over","576,704"
